Bait	Prey	MiST score
CA	P61758	0.00000
CA	P61927	0.00000
CA	P61962	0.00000
CA	P61964	0.00000
CA	P61978	0.00000
CA	P61981	0.00000
CA	P62070	0.00000
CA	P62081	0.00000
CA	P62140	0.00000
CA	P62158	0.00000
CA	P62191	0.00000
CA	P62195	0.00000
CA	P62241	0.00000
CA	P62244	0.00000
CA	P62249	0.00000
CA	P62258	0.00000
CA	P62263	0.00000
CA	P62266	0.00000
CA	P62269	0.00000
CA	P62273	0.00000
CA	P62277	0.00000
CA	P62280	0.00000
CA	P62304	0.00000
CA	P62306	0.00000
CA	P62308	0.00000
CA	P62310	0.00000
CA	P62314	0.00000
CA	P62316	0.00000
CA	P62318	0.00000
CA	P62333	0.00000
CA	P62424	0.00000
CA	P62633	0.00000
CA	P62701	0.00000
CA	P62714	0.00000
CA	P62736	0.00000
CA	P62750	0.00000
CA	P62753	0.00000
CA	P62805	0.00000
CA	P62807	0.00000
CA	P62820	0.00000
CA	P62826	0.00000
CA	P62829	0.00000
CA	P62841	0.00000
CA	P62847	0.00000
CA	P62851	0.00000
CA	P62854	0.00000
CA	P62857	0.00000
CA	P62861	0.00000
CA	P62873	0.00000
CA	P62875	0.00000
CA	P62879	0.00000
CA	P62888	0.00000
CA	P62891	0.00000
CA	P62899	0.00000
CA	P62906	0.00000
CA	P62910	0.00000
CA	P62913	0.00000
CA	P62979	0.00000
CA	P62987	0.00000
CA	P62988	0.00000
CA	P62993	0.00000
CA	P62995	0.00000
CA	P63010	0.00000
CA	P63104	0.00000
CA	P63151	0.00000
CA	P63167	0.00000
CA	P63172	0.00000
CA	P63208	0.00000
CA	P63220	0.00000
CA	P63241	0.00000
CA	P63244	0.00000
CA	P63261	0.00000
CA	P63267	0.00000
CA	P67870	0.00000
CA	P68032	0.00000
CA	P68104	0.00000
CA	P68133	0.00000
CA	P68363	0.00000
CA	P68366	0.00000
CA	P68371	0.00000
CA	P68400	0.00000
CA	P68431	0.00000
CA	P78316	0.00000
CA	P78332	0.00000
CA	P78345	0.00000
CA	P78346	0.00000
CA	P78347	0.00000
CA	P78357	0.00000
CA	P78362	0.00000
CA	P78371	0.00000
CA	P78385	0.00000
CA	P78386	0.00000
CA	P78527	0.00000
CA	P78562	0.00000
CA	P80303	0.00000
CA	P80421	0.00000
CA	P81605	0.00000
CA	P82650	0.00000
CA	P82663	0.00000
CA	P82664	0.00000
CA	P82673	0.00000
CA	P82675	0.00000
CA	P82912	0.00000
CA	P82914	0.00000
CA	P82921	0.00000
CA	P82930	0.00000
CA	P82932	0.00000
CA	P82933	0.00000
CA	P83110	0.00000
CA	P83111	0.00000
CA	P83436	0.00000
CA	P83731	0.00000
